ACTUAL_rna_age_covnorm,ACTUAL_rna_age_ranknorm,ACTUAL_rna_age_raw,ACTUAL_rna_age_resid_both,ACTUAL_rna_age_resid_cc,ACTUAL_rna_age_resid_pluri,ACTUAL_rna_age_top100,ACTUAL_rna_age_top2000,ACTUAL_rna_age_top500,ACTUAL_rna_dage_covnorm,ACTUAL_rna_dage_ranknorm,ACTUAL_rna_dage_raw,ACTUAL_rna_dage_resid_both,ACTUAL_rna_dage_resid_cc,ACTUAL_rna_dage_resid_pluri,ACTUAL_rna_dage_top100,ACTUAL_rna_dage_top2000,ACTUAL_rna_dage_top500,ERROR_covnorm_mt,ERROR_covnorm_sb,ERROR_ranknorm_mt,ERROR_ranknorm_sb,ERROR_raw_mt,ERROR_raw_sb,ERROR_resid_both_mt,ERROR_resid_both_sb,ERROR_resid_cc_mt,ERROR_resid_cc_sb,ERROR_resid_pluri_mt,ERROR_resid_pluri_sb,ERROR_top100_mt,ERROR_top100_sb,ERROR_top2000_mt,ERROR_top2000_sb,ERROR_top500_mt,ERROR_top500_sb,TRUTH_meth_age_mt,TRUTH_meth_age_sb,TRUTH_meth_dage_mt,TRUTH_meth_dage_sb,arm_set,condition,day,donor,is_control,n_replicates
124.542,155.68,118.896,16.548,29.729,15.981,88.696,103.416,115.199,3.168,5.499,2.825,2.291,3.769,2.001,-3.108,-0.226,-0.297,6.265,2.596,8.596,4.927,5.921,2.253,5.387,1.718,6.865,3.197,5.097,1.429,-0.011,-3.68,2.871,-0.798,2.799,-0.869,45.676,57.699,-3.096,0.572,transient,negative_control_intermediate,13,O2,True,1
123.378,152.951,117.858,15.647,28.629,15.1,86.451,102.203,113.427,2.864,4.39,2.554,2.037,3.244,1.825,-4.105,-0.375,-0.61,4.76,0.831,6.286,2.357,4.449,0.521,3.933,0.005,5.139,1.211,3.721,-0.208,-2.21,-6.138,1.521,-2.408,1.285,-2.643,48.664,59.507,-1.896,2.033,transient,negative_control_intermediate,15,O2,True,1
128.853,154.767,122.74,19.981,31.997,19.893,86.082,105.923,115.925,1.958,4.212,1.746,1.041,2.188,0.904,-4.885,-1.497,-1.75,4.636,-1.192,6.89,1.062,4.424,-1.404,3.72,-2.108,4.866,-0.962,3.582,-2.246,-2.207,-8.035,1.182,-4.647,0.928,-4.9,48.959,62.505,-2.678,3.15,transient,negative_control_intermediate,17,O2,True,1
41.251,141.715,44.63,-23.622,-45.769,-23.696,59.038,31.445,50.018,-79.487,-7.079,-70.874,-37.03,-69.831,-37.232,-34.17,-71.513,-64.668,-56.363,-64.691,16.045,7.717,-47.75,-56.079,-13.906,-22.234,-46.707,-55.035,-14.108,-22.436,-11.046,-19.374,-48.389,-56.717,-41.544,-49.872,25.529,43.895,-23.124,-14.796,transient,transient_reprogramming_intermediate,10,O2,False,1
51.235,143.961,53.532,-8.852,-38.965,-8.266,58.764,38.676,55.338,-70.138,-6.22,-62.539,-23.11,-64.924,-22.246,-33.04,-64.966,-60.158,-41.761,-48.406,22.157,15.512,-34.162,-40.807,5.267,-1.378,-36.547,-43.193,6.131,-0.514,-4.663,-11.309,-36.589,-43.234,-31.781,-38.426,20.395,35.395,-28.377,-21.732,transient,transient_reprogramming_intermediate,13,O2,False,1
50.181,146.194,52.592,-1.757,-40.076,-1.09,60.782,38.601,56.124,-70.333,-2.367,-62.713,-15.367,-65.461,-14.365,-29.774,-63.976,-57.914,-31.846,-35.772,36.121,32.195,-24.225,-28.151,23.121,19.195,-26.974,-30.899,24.123,20.197,8.714,4.788,-25.489,-29.415,-19.427,-23.352,12.072,22.913,-38.487,-34.562,transient,transient_reprogramming_intermediate,15,O2,False,1
44.737,143.486,47.738,1.141,-44.558,1.721,61.983,36.229,54.895,-82.158,-7.069,-73.256,-17.799,-74.368,-17.268,-28.984,-71.19,-62.781,-36.203,-33.155,38.886,41.934,-27.301,-24.253,28.157,31.205,-28.412,-25.364,28.687,31.735,16.971,20.019,-25.235,-22.187,-16.825,-13.777,5.682,10.351,-45.955,-49.003,transient,transient_reprogramming_intermediate,17,O2,False,1
103.299,138.857,99.955,-1.795,8.258,-1.588,89.948,93.03,112.856,-17.438,-9.937,-15.549,-15.203,-15.804,-15.124,-3.26,-9.929,-1.83,6.283,4.794,13.785,12.296,8.172,6.684,8.519,7.03,7.917,6.429,8.598,7.109,20.461,18.973,13.793,12.304,21.891,20.403,24.932,36.458,-23.721,-22.233,transient,transiently_reprogrammed,10,O2,False,1
76.512,139.687,76.07,-25.573,-16.184,-25.196,76.144,66.86,89.23,-44.861,-10.494,-40.0,-39.831,-42.144,-39.176,-15.661,-36.781,-26.266,-33.822,-22.864,0.545,11.502,-28.962,-18.004,-28.792,-17.834,-31.105,-20.147,-28.137,-17.179,-4.622,6.336,-25.742,-14.784,-15.227,-4.269,37.734,35.129,-11.039,-21.997,transient,transiently_reprogrammed,13,O2,False,2
102.807,147.232,99.516,-4.207,7.037,-3.768,91.337,91.061,109.133,-24.089,-3.323,-21.479,-23.146,-22.772,-22.757,0.371,-16.359,-8.543,-36.102,-23.4,-15.337,-2.635,-33.492,-20.79,-35.159,-22.457,-34.786,-22.084,-34.77,-22.068,-11.643,1.059,-28.372,-15.67,-20.556,-7.854,63.651,58.666,12.013,-0.689,transient,transiently_reprogrammed,17,O2,False,1
