clone_id,treatment,outer_fold,y,pred_W0,pred_W1,pred_W2,pred_W3,pred_W4,pred_W5
L103561,Acid,1,0,0.4758727382102801,0.5091537836307407,0.3504568294058908,0.5904671278106735,0.5993248588658174,0.47950776519014776
L103561,Cisplatin,1,0,0.1945871959380825,0.1759966798595818,0.3504568294058908,0.2550614458029901,0.2217993247885192,0.21249090197977613
L103561,CoCl2,1,0,0.2356004453330165,0.2228416261213359,0.3504568294058908,0.3073829835195624,0.278490708821568,0.39038450899273763
L103561,Dabrafenib,1,1,0.2320338480452489,0.218679419027207,0.3504568294058908,0.3028565442071171,0.273500254204915,0.2776290806615573
L103561,Doxorubicin,1,0,0.2997994308885851,0.2997248977938739,0.3504568294058908,0.3879065401557057,0.3691833599497054,0.33253993415544364
L103561,Trametinib,1,1,0.1972621510625855,0.1789879266198048,0.3504568294058908,0.2584899745960193,0.2254406943785812,0.21819800412297524
L103874,Acid,1,0,0.4758727382102801,0.2846492613888907,0.2875794018963001,0.5149304673513619,0.237671995108368,0.26993733199812125
L103874,Cisplatin,1,0,0.1945871959380825,0.0757290196169657,0.2875794018963001,0.2013377299259382,0.0560753738077378,0.03614704889293106
L103874,CoCl2,1,0,0.2356004453330165,0.09909531796825,0.2875794018963001,0.246282219553254,0.0744611405913608,0.09821143489851915
L103874,Dabrafenib,1,0,0.2320338480452489,0.0969560750019377,0.2875794018963001,0.2423407177226093,0.0727581327386764,0.06685275447365469
L103874,Doxorubicin,1,0,0.2997994308885851,0.1410322674669205,0.2875794018963001,0.3181519550741385,0.1087222175991962,0.1413762802376354
L103874,Trametinib,1,0,0.1972621510625855,0.0771757232365809,0.2875794018963001,0.2042421008661417,0.0571959553885849,0.03128926851672544
L104099,Acid,4,1,0.4785299066468458,0.858898862239138,0.3452782136292495,0.5925113902085719,0.8914452100188976,0.8534577313791715
L104099,Cisplatin,4,1,0.1981548358322619,0.5543609111658495,0.3452782136292495,0.2597690890402281,0.6169259485942684,0.6408249828475377
L104099,CoCl2,4,1,0.2293600697046259,0.6090578440157818,0.3452782136292495,0.2996291742779255,0.6695398395189123,0.7561994902924996
L104099,Dabrafenib,4,1,0.2240101926936385,0.6002070584180019,0.3452782136292495,0.292822077905104,0.6611074714961831,0.6904172877563952
L104099,Doxorubicin,4,1,0.2891002187573746,0.6948812314614055,0.3452782136292495,0.3747598324844111,0.7497306359457586,0.7663582462327808
L104099,Trametinib,4,1,0.191021945485207,0.5407416077298749,0.3452782136292495,0.2506107598242362,0.6036663912792865,0.6425754967748903
L10419,Acid,2,1,0.4723002644704608,0.6676818497714082,0.3208956640800616,0.5621853241718086,0.6848764413962375,0.716482758642907
L10419,Cisplatin,2,0,0.2026102523734454,0.3014912091798393,0.3208956640800616,0.2438531808165171,0.3151868350971706,0.4039901853807175
L10419,CoCl2,2,1,0.2266829195508383,0.339616605755387,0.3208956640800616,0.2730577846749317,0.3545796456846987,0.30553725849624797
L10419,Dabrafenib,2,0,0.2266829195508383,0.3396166057553871,0.3208956640800616,0.2730577846749319,0.3545796456846987,0.30491836248181464
L10419,Doxorubicin,2,1,0.2819646373115759,0.4242659198431811,0.3208956640800616,0.3398422256981821,0.4419303080744345,0.45498288273059345
L10419,Trametinib,2,0,0.194586034559209,0.2886471084445555,0.3208956640800616,0.2341105848165568,0.3019368861180012,0.2549466713127455
L10467,Acid,2,0,0.4723002644704608,0.2807695161874157,0.2089117141005548,0.4108200952508826,0.2206419344991561,0.15639937451243144
L10467,Cisplatin,2,0,0.2026102523734454,0.0773739631839097,0.2089117141005548,0.1490234028930499,0.0565625213670045,0.07199181808136856
L10467,CoCl2,2,0,0.2266829195508383,0.0908442457636326,0.2089117141005548,0.1694154730729415,0.066784080382801,0.0398844553278092
L10467,Dabrafenib,2,0,0.2266829195508383,0.0908442457636327,0.2089117141005548,0.1694154730729415,0.066784080382801,0.045802853766574836
L10467,Doxorubicin,2,0,0.2819646373115759,0.1252471706812583,0.2089117141005548,0.2184692162267396,0.0935080438013034,0.09160476855056453
L10467,Trametinib,2,0,0.194586034559209,0.0730787807484661,0.2089117141005548,0.1423562315870389,0.0533379262999255,0.06900804045575641
L104690,Acid,4,1,0.4785299066468458,0.6652924983248589,0.3006719531946305,0.5393601871686743,0.5938731187462216,0.6357820373742907
L104690,Cisplatin,4,0,0.1981548358322619,0.2888660030177321,0.3006719531946305,0.2203274800573034,0.2228614782722949,0.24993275105061735
L104690,CoCl2,4,0,0.2293600697046259,0.3371879783359144,0.3006719531946305,0.2562304019581256,0.2651278592668857,0.17278611200324454
L104690,Dabrafenib,4,0,0.2240101926936385,0.3289635379145483,0.3006719531946305,0.250057236967256,0.2578151452826867,0.22545312124220618
L104690,Doxorubicin,4,1,0.2891002187573746,0.4264953333150827,0.3006719531946305,0.3255370624410812,0.3478705418117956,0.3704592976871065
L104690,Trametinib,4,0,0.191021945485207,0.2777046603980344,0.3006719531946305,0.2121611412945142,0.213354352558711,0.16159011389076397
L104947,Acid,4,1,0.4785299066468458,0.6628333245662733,0.3873574438990008,0.6378670714467978,0.768475199186999,0.676953037178703
L104947,Cisplatin,4,1,0.1981548358322619,0.2866067891253402,0.3873574438990008,0.2982997178531232,0.3942822772802302,0.3977146154351906
L104947,CoCl2,4,1,0.2293600697046259,0.334728727665821,0.3873574438990008,0.3413457425592939,0.4502246395569884,0.48963604854419257
L104947,Dabrafenib,4,1,0.2240101926936385,0.326534720208415,0.3873574438990008,0.3340429354622616,0.4408694275650299,0.5661632651479181
L104947,Doxorubicin,4,0,0.2891002187573746,0.4238012031386855,0.3873574438990008,0.4206540515628194,0.5476817965553576,0.5130040261493508
L104947,Trametinib,4,1,0.191021945485207,0.2754989212548642,0.3873574438990008,0.2883120572159557,0.381048028555032,0.4663929926562265
L105502,Acid,1,1,0.4758727382102801,0.2846492613888907,0.3206378155762583,0.5558098021765489,0.3047260099353381,0.2593095321231324
L105502,Cisplatin,1,0,0.1945871959380825,0.0757290196169657,0.3206378155762583,0.2290786895171346,0.0770758422651251,0.10054556839999904
L105502,CoCl2,1,0,0.2356004453330165,0.09909531796825,0.3206378155762583,0.2780597802773465,0.1016059831326928,0.1495009583439721
L105502,Dabrafenib,1,0,0.2320338480452489,0.0969560750019377,0.3206378155762583,0.273794451987338,0.09934878410096,0.08200621966623342
