clone_id,treatment,n_naive_cells,naive_pooled_fraction,n_post_cells,post_fraction,post_rank,post_rank_fraction,post_tie_size,detected_post,outcome_observation_status,treatment_sample_available,treatment_total_assigned_cells,naive_source_samples,outer_group,outer_fold
L85922,Cisplatin,4,0.00061643,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive2|Naive3,L85922,0
L85922,CoCl2,4,0.00061643,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive2|Naive3,L85922,0
L85922,Dabrafenib,4,0.00061643,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive2|Naive3,L85922,0
L85922,Doxorubicin,4,0.00061643,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive2|Naive3,L85922,0
L85922,Trametinib,4,0.00061643,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive2|Naive3,L85922,0
L85940,Acid,4,0.00061643,2,0.00027601,380,0.27123483,107,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L85940,3
L85940,Cisplatin,4,0.00061643,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive2|Naive3,L85940,3
L85940,CoCl2,4,0.00061643,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive2|Naive3,L85940,3
L85940,Dabrafenib,4,0.00061643,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive2|Naive3,L85940,3
L85940,Doxorubicin,4,0.00061643,1,0.00035311,218,0.15560314,188,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L85940,3
L85940,Trametinib,4,0.00061643,1,0.00012359,161,0.11491792,114,True,observed_nonzero,True,8091,Naive1|Naive2|Naive3,L85940,3
L86391,Acid,1,0.00015411,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive3,L86391,4
L86391,Cisplatin,1,0.00015411,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive3,L86391,4
L86391,CoCl2,1,0.00015411,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive3,L86391,4
L86391,Dabrafenib,1,0.00015411,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive3,L86391,4
L86391,Doxorubicin,1,0.00015411,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive3,L86391,4
L86391,Trametinib,1,0.00015411,1,0.00012359,161,0.11491792,114,True,observed_nonzero,True,8091,Naive3,L86391,4
L86394,Acid,28,0.00431499,15,0.00207011,97,0.06923626,6,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L86394,1
L86394,Cisplatin,28,0.00431499,4,0.00058694,23,0.01641685,14,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L86394,1
L86394,CoCl2,28,0.00431499,1,0.00019478,179,0.12776588,141,True,observed_nonzero,True,5134,Naive1|Naive2|Naive3,L86394,1
L86394,Dabrafenib,28,0.00431499,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive2|Naive3,L86394,1
L86394,Doxorubicin,28,0.00431499,9,0.00317797,27,0.01927195,5,True,observed_nonzero,True,2832,Naive1|Naive2|Naive3,L86394,1
L86394,Trametinib,28,0.00431499,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive2|Naive3,L86394,1
L870,Acid,4,0.00061643,1,0.00013801,487,0.34760885,179,True,observed_nonzero,True,7246,Naive1|Naive3,L870,2
L870,Cisplatin,4,0.00061643,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive3,L870,2
L870,CoCl2,4,0.00061643,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive3,L870,2
L870,Dabrafenib,4,0.00061643,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive3,L870,2
L870,Doxorubicin,4,0.00061643,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1|Naive3,L870,2
L870,Trametinib,4,0.00061643,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive3,L870,2
L87202,Acid,3,0.00046232,0,0.0,666,0.47537473,736,False,observed_zero,True,7246,Naive1|Naive3,L87202,2
L87202,Cisplatin,3,0.00046232,0,0.0,273,0.19486081,1129,False,observed_zero,True,6815,Naive1|Naive3,L87202,2
L87202,CoCl2,3,0.00046232,0,0.0,320,0.22840828,1082,False,observed_zero,True,5134,Naive1|Naive3,L87202,2
L87202,Dabrafenib,3,0.00046232,0,0.0,322,0.22983583,1080,False,observed_zero,True,6164,Naive1|Naive3,L87202,2
L87202,Doxorubicin,3,0.00046232,0,0.0,406,0.289793,996,False,observed_zero,True,2832,Naive1|Naive3,L87202,2
L87202,Trametinib,3,0.00046232,0,0.0,275,0.19628837,1127,False,observed_zero,True,8091,Naive1|Naive3,L87202,2
L87366,Acid,26,0.00400678,30,0.00414022,47,0.03354747,1,True,observed_nonzero,True,7246,Naive1|Naive2|Naive3,L87366,3
L87366,Cisplatin,26,0.00400678,1,0.00014674,110,0.07851535,163,True,observed_nonzero,True,6815,Naive1|Naive2|Naive3,L87366,3
